company_id,from_year,to_year,previous_pattern,new_pattern
ASIANPAINT,2021,2022,Shareholder Returns,Reinvestor
ATGL,2018,2019,Mixed,Liquidating Assets
ATGL,2019,2020,Liquidating Assets,Shareholder Returns
ATGL,2020,2021,Shareholder Returns,Mixed
ATGL,2023,2024,Mixed,Shareholder Returns
AXISBANK,2014,2015,Mixed,Growth Funded by Debt
AXISBANK,2015,2016,Growth Funded by Debt,Distress Signal
AXISBANK,2016,2017,Distress Signal,Shareholder Returns
AXISBANK,2017,2018,Shareholder Returns,Growth Funded by Debt
AXISBANK,2018,2019,Growth Funded by Debt,Mixed
AXISBANK,2023,2024,Mixed,Growth Funded by Debt
BAJAJ-AUTO,2019,2020,Reinvestor,Liquidating Assets
BAJAJ-AUTO,2020,2021,Liquidating Assets,Reinvestor
BAJAJ-AUTO,2021,2022,Reinvestor,Liquidating Assets
BAJAJ-AUTO,2023,2024,Liquidating Assets,Reinvestor
BAJAJFINSV,2015,2016,Distress Signal,Growth Funded by Debt
BAJAJFINSV,2016,2017,Growth Funded by Debt,Distress Signal
BAJAJFINSV,2017,2018,Distress Signal,Growth Funded by Debt
BAJAJFINSV,2020,2021,Growth Funded by Debt,Mixed
BAJAJFINSV,2021,2022,Mixed,Distress Signal
BAJAJFINSV,2022,2023,Distress Signal,Growth Funded by Debt
BAJAJHLDNG,2015,2016,Reinvestor,Liquidating Assets
BAJAJHLDNG,2016,2017,Liquidating Assets,Pre-Revenue
BAJAJHLDNG,2017,2018,Pre-Revenue,Reinvestor
BAJFINANCE,2017,2018,Growth Funded by Debt,Distress Signal
BAJFINANCE,2018,2019,Distress Signal,Growth Funded by Debt
BAJFINANCE,2021,2022,Growth Funded by Debt,Distress Signal
BAJFINANCE,2022,2023,Distress Signal,Growth Funded by Debt
BANKBARODA,2013,2014,Shareholder Returns,Mixed
BANKBARODA,2014,2015,Mixed,Shareholder Returns
BANKBARODA,2015,2016,Shareholder Returns,Pre-Revenue
BANKBARODA,2016,2017,Pre-Revenue,Shareholder Returns
BANKBARODA,2017,2018,Shareholder Returns,Growth Funded by Debt
BANKBARODA,2019,2020,Growth Funded by Debt,Mixed
BANKBARODA,2020,2021,Mixed,Pre-Revenue
BANKBARODA,2021,2022,Pre-Revenue,Shareholder Returns
BANKBARODA,2022,2023,Shareholder Returns,Pre-Revenue
BANKBARODA,2023,2024,Pre-Revenue,Growth Funded by Debt
BEL,2014,2015,Mixed,Reinvestor
BEL,2016,2017,Reinvestor,Mixed
BEL,2017,2018,Mixed,Pre-Revenue
BEL,2018,2019,Pre-Revenue,Reinvestor
BEL,2021,2022,Reinvestor,Shareholder Returns
BEL,2022,2023,Shareholder Returns,Liquidating Assets
BEL,2023,2024,Liquidating Assets,Shareholder Returns
BHARTIARTL,2013,2014,Shareholder Returns,Mixed
BHARTIARTL,2014,2015,Mixed,Shareholder Returns
BHARTIARTL,2017,2018,Shareholder Returns,Mixed
BHARTIARTL,2020,2021,Mixed,Shareholder Returns
BHEL,2014,2015,Mixed,Liquidating Assets
BHEL,2016,2017,Liquidating Assets,Reinvestor
BHEL,2017,2018,Reinvestor,Liquidating Assets
BHEL,2018,2019,Liquidating Assets,Mixed
BHEL,2019,2020,Mixed,Distress Signal
BHEL,2020,2021,Distress Signal,Reinvestor
BHEL,2022,2023,Reinvestor,Distress Signal
BOSCHLTD,2015,2016,Shareholder Returns,Reinvestor
BOSCHLTD,2016,2017,Reinvestor,Liquidating Assets
BOSCHLTD,2017,2018,Liquidating Assets,Shareholder Returns
BOSCHLTD,2018,2019,Shareholder Returns,Liquidating Assets
BOSCHLTD,2019,2020,Liquidating Assets,Shareholder Returns
BOSCHLTD,2022,2023,Shareholder Returns,Liquidating Assets
BPCL,2016,2017,Shareholder Returns,Mixed
BPCL,2017,2018,Mixed,Shareholder Returns
BPCL,2018,2019,Shareholder Returns,Mixed
BPCL,2020,2021,Mixed,Shareholder Returns
BRITANNIA,2013,2014,Liquidating Assets,Shareholder Returns
BRITANNIA,2018,2019,Shareholder Returns,Reinvestor
BRITANNIA,2019,2020,Reinvestor,Mixed
BRITANNIA,2020,2021,Mixed,Liquidating Assets
BRITANNIA,2022,2023,Liquidating Assets,Shareholder Returns
BRITANNIA,2023,2024,Shareholder Returns,Liquidating Assets
CANBK,2016,2017,Shareholder Returns,Mixed
CANBK,2017,2018,Mixed,Growth Funded by Debt
CANBK,2018,2019,Growth Funded by Debt,Shareholder Returns
CANBK,2019,2020,Shareholder Returns,Growth Funded by Debt
CANBK,2020,2021,Growth Funded by Debt,Mixed
CANBK,2022,2023,Mixed,Growth Funded by Debt
CANBK,2023,2024,Growth Funded by Debt,Shareholder Returns
CHOLAFIN,2013,2014,Distress Signal,Growth Funded by Debt
CHOLAFIN,2021,2022,Growth Funded by Debt,Distress Signal
CHOLAFIN,2022,2023,Distress Signal,Growth Funded by Debt
CIPLA,2013,2014,Mixed,Shareholder Returns
CIPLA,2014,2015,Shareholder Returns,Mixed
CIPLA,2016,2017,Mixed,Shareholder Returns
CIPLA,2019,2020,Shareholder Returns,Liquidating Assets
CIPLA,2020,2021,Liquidating Assets,Shareholder Returns
COALINDIA,2013,2014,Reinvestor,Liquidating Assets
COALINDIA,2017,2018,Liquidating Assets,Shareholder Returns
COALINDIA,2019,2020,Shareholder Returns,Liquidating Assets
COALINDIA,2021,2022,Liquidating Assets,Shareholder Returns
DABUR,2017,2018,Shareholder Returns,Reinvestor
DABUR,2018,2019,Reinvestor,Liquidating Assets
DABUR,2019,2020,Liquidating Assets,Reinvestor
DABUR,2020,2021,Reinvestor,Shareholder Returns
DIVISLAB,2016,2017,Reinvestor,Mixed
DIVISLAB,2017,2018,Mixed,Reinvestor
DIVISLAB,2020,2021,Reinvestor,Liquidating Assets
DIVISLAB,2021,2022,Liquidating Assets,Reinvestor
DLF,2015,2016,Liquidating Assets,Shareholder Returns
DLF,2016,2017,Shareholder Returns,Distress Signal
DLF,2017,2018,Distress Signal,Shareholder Returns
DLF,2018,2019,Shareholder Returns,Cash Accumulator
DLF,2019,2020,Cash Accumulator,Liquidating Assets
DLF,2022,2023,Liquidating Assets,Shareholder Returns
DLF,2023,2024,Shareholder Returns,Mixed
DMART,2017,2018,Mixed,Liquidating Assets
DMART,2018,2019,Liquidating Assets,Mixed
DMART,2020,2021,Mixed,Reinvestor
DMART,2022,2023,Reinvestor,Shareholder Returns
DRREDDY,2015,2016,Reinvestor,Shareholder Returns
EICHERMOT,2016,2017,Shareholder Returns,Mixed
EICHERMOT,2017,2018,Mixed,Shareholder Returns
EICHERMOT,2022,2023,Shareholder Returns,Reinvestor
GAIL,2013,2014,Mixed,Shareholder Returns
GAIL,2019,2020,Shareholder Returns,Mixed
GAIL,2020,2021,Mixed,Shareholder Returns
GAIL,2022,2023,Shareholder Returns,Mixed
GAIL,2023,2024,Mixed,Reinvestor
GODREJCP,2013,2014,Mixed,Shareholder Returns
GODREJCP,2016,2017,Shareholder Returns,Mixed
GODREJCP,2017,2018,Mixed,Shareholder Returns
GODREJCP,2018,2019,Shareholder Returns,Liquidating Assets
GODREJCP,2019,2020,Liquidating Assets,Shareholder Returns
GODREJCP,2021,2022,Shareholder Returns,Reinvestor
GODREJCP,2022,2023,Reinvestor,Shareholder Returns
GODREJCP,2023,2024,Shareholder Returns,Mixed
GRASIM,2013,2014,Mixed,Shareholder Returns
GRASIM,2017,2018,Shareholder Returns,Distress Signal
GRASIM,2018,2019,Distress Signal,Growth Funded by Debt
GRASIM,2019,2020,Growth Funded by Debt,Reinvestor
GRASIM,2022,2023,Reinvestor,Growth Funded by Debt
HAL,2018,2019,Mixed,Distress Signal
HAL,2019,2020,Distress Signal,Mixed
HAL,2020,2021,Mixed,Reinvestor
HAL,2022,2023,Reinvestor,Shareholder Returns
HAVELLS,2018,2019,Shareholder Returns,Liquidating Assets
HAVELLS,2019,2020,Liquidating Assets,Shareholder Returns
HAVELLS,2020,2021,Shareholder Returns,Mixed
HAVELLS,2021,2022,Mixed,Shareholder Returns
HAVELLS,2022,2023,Shareholder Returns,Liquidating Assets
HAVELLS,2023,2024,Liquidating Assets,Shareholder Returns
HCLTECH,2016,2017,Reinvestor,Shareholder Returns
HCLTECH,2018,2019,Shareholder Returns,Reinvestor
HCLTECH,2019,2020,Reinvestor,Shareholder Returns
HCLTECH,2021,2022,Shareholder Returns,Liquidating Assets
HCLTECH,2022,2023,Liquidating Assets,Shareholder Returns
HDFCBANK,2013,2014,Growth Funded by Debt,Mixed
HDFCBANK,2014,2015,Mixed,Growth Funded by Debt
HDFCBANK,2016,2017,Growth Funded by Debt,Reinvestor
HDFCBANK,2017,2018,Reinvestor,Mixed
HDFCBANK,2018,2019,Mixed,Growth Funded by Debt
HDFCBANK,2020,2021,Growth Funded by Debt,Reinvestor
HDFCBANK,2021,2022,Reinvestor,Growth Funded by Debt
HDFCBANK,2022,2023,Growth Funded by Debt,Mixed
HDFCBANK,2023,2024,Mixed,Liquidating Assets
HDFCLIFE,2014,2015,Mixed,Shareholder Returns
HDFCLIFE,2019,2020,Shareholder Returns,Mixed
HDFCLIFE,2021,2022,Mixed,Shareholder Returns
HDFCLIFE,2022,2023,Shareholder Returns,Mixed
HDFCLIFE,2023,2024,Mixed,Shareholder Returns
HEROMOTOCO,2014,2015,Shareholder Returns,Liquidating Assets
HEROMOTOCO,2015,2016,Liquidating Assets,Shareholder Returns
HEROMOTOCO,2018,2019,Shareholder Returns,Liquidating Assets
HEROMOTOCO,2019,2020,Liquidating Assets,Shareholder Returns
HINDALCO,2014,2015,Mixed,Shareholder Returns
HINDALCO,2017,2018,Shareholder Returns,Liquidating Assets
HINDALCO,2018,2019,Liquidating Assets,Shareholder Returns
HINDALCO,2019,2020,Shareholder Returns,Mixed
HINDALCO,2020,2021,Mixed,Shareholder Returns
HINDUNILVR,2013,2014,Liquidating Assets,Reinvestor
HINDUNILVR,2014,2015,Reinvestor,Liquidating Assets
HINDUNILVR,2015,2016,Liquidating Assets,Reinvestor
HINDUNILVR,2017,2018,Reinvestor,Shareholder Returns
HINDUNILVR,2019,2020,Shareholder Returns,Liquidating Assets
HINDUNILVR,2020,2021,Liquidating Assets,Shareholder Returns
ICICIBANK,2014,2015,Mixed,Growth Funded by Debt
ICICIBANK,2015,2016,Growth Funded by Debt,Mixed
ICICIBANK,2016,2017,Mixed,Shareholder Returns
ICICIBANK,2017,2018,Shareholder Returns,Mixed
ICICIBANK,2018,2019,Mixed,Shareholder Returns
ICICIBANK,2019,2020,Shareholder Returns,Mixed
ICICIBANK,2020,2021,Mixed,Shareholder Returns
ICICIBANK,2021,2022,Shareholder Returns,Mixed
ICICIBANK,2022,2023,Mixed,Growth Funded by Debt
ICICIBANK,2023,2024,Growth Funded by Debt,Mixed
ICICIGI,2015,2016,Mixed,Shareholder Returns
ICICIGI,2016,2017,Shareholder Returns,Mixed
ICICIGI,2017,2018,Mixed,Shareholder Returns
ICICIGI,2021,2022,Shareholder Returns,Liquidating Assets
ICICIGI,2022,2023,Liquidating Assets,Shareholder Returns
ICICIPRULI,2014,2015,Mixed,Reinvestor
ICICIPRULI,2015,2016,Reinvestor,Liquidating Assets
ICICIPRULI,2016,2017,Liquidating Assets,Reinvestor
ICICIPRULI,2017,2018,Reinvestor,Shareholder Returns
ICICIPRULI,2020,2021,Shareholder Returns,Mixed
ICICIPRULI,2021,2022,Mixed,Shareholder Returns
ICICIPRULI,2023,2024,Shareholder Returns,Mixed
INDIGO,2014,2015,Mixed,Shareholder Returns
INDIGO,2017,2018,Shareholder Returns,Mixed
INDIGO,2018,2019,Mixed,Shareholder Returns
INDIGO,2019,2020,Shareholder Returns,Reinvestor
INDIGO,2020,2021,Reinvestor,Mixed
INDIGO,2021,2022,Mixed,Liquidating Assets
INDIGO,2022,2023,Liquidating Assets,Reinvestor
INDUSINDBK,2016,2017,Growth Funded by Debt,Reinvestor
INDUSINDBK,2017,2018,Reinvestor,Growth Funded by Debt
INDUSINDBK,2019,2020,Growth Funded by Debt,Distress Signal
INDUSINDBK,2020,2021,Distress Signal,Shareholder Returns
INDUSINDBK,2022,2023,Shareholder Returns,Growth Funded by Debt
INDUSINDBK,2023,2024,Growth Funded by Debt,Pre-Revenue
INFY,2014,2015,Reinvestor,Liquidating Assets
INFY,2015,2016,Liquidating Assets,Reinvestor
INFY,2017,2018,Reinvestor,Liquidating Assets
INFY,2018,2019,Liquidating Assets,Reinvestor
INFY,2021,2022,Reinvestor,Shareholder Returns
IOC,2013,2014,Mixed,Shareholder Returns
IOC,2018,2019,Shareholder Returns,Mixed
IOC,2020,2021,Mixed,Reinvestor
IRCTC,2015,2016,Reinvestor,Liquidating Assets
IRCTC,2018,2019,Liquidating Assets,Shareholder Returns
IRCTC,2019,2020,Shareholder Returns,Liquidating Assets
IRCTC,2020,2021,Liquidating Assets,Shareholder Returns
IRCTC,2021,2022,Shareholder Returns,Reinvestor
IRCTC,2022,2023,Reinvestor,Shareholder Returns
IRCTC,2023,2024,Shareholder Returns,Reinvestor
IRFC,2020,2021,Distress Signal,Mixed
IRFC,2021,2022,Mixed,Growth Funded by Debt
IRFC,2022,2023,Growth Funded by Debt,Mixed
IRFC,2023,2024,Mixed,Reinvestor
ITC,2017,2018,Reinvestor,Shareholder Returns
ITC,2020,2021,Shareholder Returns,Liquidating Assets
ITC,2021,2022,Liquidating Assets,Shareholder Returns
ITC,2022,2023,Shareholder Returns,Reinvestor
ITC,2023,2024,Reinvestor,Liquidating Assets
JINDALSTEL,2015,2016,Mixed,Reinvestor
JINDALSTEL,2023,2024,Reinvestor,Mixed
JIOFIN,2023,2024,Shareholder Returns,Mixed
JSWENERGY,2019,2020,Shareholder Returns,Liquidating Assets
JSWENERGY,2020,2021,Liquidating Assets,Shareholder Returns
JSWENERGY,2022,2023,Shareholder Returns,Mixed
JSWSTEEL,2013,2014,Shareholder Returns,Mixed
JSWSTEEL,2014,2015,Mixed,Shareholder Returns
JSWSTEEL,2015,2016,Shareholder Returns,Reinvestor
JSWSTEEL,2016,2017,Reinvestor,Shareholder Returns
JSWSTEEL,2017,2018,Shareholder Returns,Reinvestor
JSWSTEEL,2018,2019,Reinvestor,Mixed
JSWSTEEL,2020,2021,Mixed,Shareholder Returns
KOTAKBANK,2013,2014,Mixed,Shareholder Returns
KOTAKBANK,2014,2015,Shareholder Returns,Mixed
KOTAKBANK,2017,2018,Mixed,Growth Funded by Debt
KOTAKBANK,2018,2019,Growth Funded by Debt,Mixed
KOTAKBANK,2019,2020,Mixed,Shareholder Returns
KOTAKBANK,2021,2022,Shareholder Returns,Mixed
KOTAKBANK,2022,2023,Mixed,Growth Funded by Debt
KOTAKBANK,2023,2024,Growth Funded by Debt,Mixed
LICI,2019,2020,Liquidating Assets,Shareholder Returns
LICI,2020,2021,Shareholder Returns,Liquidating Assets
LICI,2021,2022,Liquidating Assets,Mixed
LICI,2022,2023,Mixed,Shareholder Returns
LODHA,2016,2017,Mixed,Shareholder Returns
LODHA,2017,2018,Shareholder Returns,Mixed
LODHA,2018,2019,Mixed,Growth Funded by Debt
LODHA,2019,2020,Growth Funded by Debt,Liquidating Assets
LODHA,2023,2024,Liquidating Assets,Mixed
LT,2016,2017,Growth Funded by Debt,Mixed
LT,2017,2018,Mixed,Distress Signal
LT,2018,2019,Distress Signal,Growth Funded by Debt
LT,2019,2020,Growth Funded by Debt,Mixed
LT,2020,2021,Mixed,Reinvestor
LT,2022,2023,Reinvestor,Shareholder Returns
LT,2023,2024,Shareholder Returns,Liquidating Assets
LTIM,2013,2014,Shareholder Returns,Liquidating Assets
LTIM,2014,2015,Liquidating Assets,Reinvestor
LTIM,2020,2021,Reinvestor,Shareholder Returns
LTIM,2021,2022,Shareholder Returns,Reinvestor
LTIM,2023,2024,Reinvestor,Shareholder Returns
M&M,2014,2015,Growth Funded by Debt,Mixed
M&M,2018,2019,Mixed,Growth Funded by Debt
M&M,2020,2021,Growth Funded by Debt,Mixed
M&M,2021,2022,Mixed,Shareholder Returns
M&M,2022,2023,Shareholder Returns,Growth Funded by Debt
MOTHERSON,2014,2015,Shareholder Returns,Mixed
MOTHERSON,2015,2016,Mixed,Shareholder Returns
MOTHERSON,2016,2017,Shareholder Returns,Mixed
MOTHERSON,2017,2018,Mixed,Shareholder Returns
MOTHERSON,2023,2024,Shareholder Returns,Mixed
NAUKRI,2013,2014,Reinvestor,Mixed
NAUKRI,2015,2016,Mixed,Reinvestor
NAUKRI,2019,2020,Reinvestor,Liquidating Assets
NAUKRI,2020,2021,Liquidating Assets,Mixed
NHPC,2013,2014,Reinvestor,Shareholder Returns
NHPC,2019,2020,Shareholder Returns,Mixed
NHPC,2020,2021,Mixed,Shareholder Returns
NTPC,2013,2014,Mixed,Shareholder Returns
NTPC,2016,2017,Shareholder Returns,Mixed
NTPC,2020,2021,Mixed,Shareholder Returns
ONGC,2013,2014,Shareholder Returns,Mixed
ONGC,2014,2015,Mixed,Shareholder Returns
ONGC,2017,2018,Shareholder Returns,Mixed
ONGC,2018,2019,Mixed,Shareholder Returns
PFC,2014,2015,Distress Signal,Growth Funded by Debt
PFC,2016,2017,Growth Funded by Debt,Mixed
PFC,2017,2018,Mixed,Distress Signal
PFC,2018,2019,Distress Signal,Growth Funded by Debt
PFC,2020,2021,Growth Funded by Debt,Distress Signal
PFC,2021,2022,Distress Signal,Reinvestor
PFC,2022,2023,Reinvestor,Growth Funded by Debt
PIDILITIND,2013,2014,Shareholder Returns,Reinvestor
PIDILITIND,2014,2015,Reinvestor,Shareholder Returns
PIDILITIND,2016,2017,Shareholder Returns,Mixed
PIDILITIND,2017,2018,Mixed,Liquidating Assets
PIDILITIND,2018,2019,Liquidating Assets,Reinvestor
PIDILITIND,2019,2020,Reinvestor,Liquidating Assets
PIDILITIND,2020,2021,Liquidating Assets,Shareholder Returns
PIDILITIND,2021,2022,Shareholder Returns,Reinvestor
PIDILITIND,2022,2023,Reinvestor,Shareholder Returns
PNB,2013,2014,Pre-Revenue,Mixed
PNB,2016,2017,Mixed,Liquidating Assets
PNB,2017,2018,Liquidating Assets,Distress Signal
PNB,2018,2019,Distress Signal,Growth Funded by Debt
PNB,2020,2021,Growth Funded by Debt,Mixed
PNB,2023,2024,Mixed,Growth Funded by Debt
POWERGRID,2018,2019,Mixed,Shareholder Returns
POWERGRID,2021,2022,Shareholder Returns,Liquidating Assets
POWERGRID,2022,2023,Liquidating Assets,Shareholder Returns
RECLTD,2015,2016,Distress Signal,Growth Funded by Debt
RECLTD,2016,2017,Growth Funded by Debt,Reinvestor
RECLTD,2017,2018,Reinvestor,Distress Signal
RECLTD,2021,2022,Distress Signal,Growth Funded by Debt
RELIANCE,2015,2016,Mixed,Shareholder Returns
RELIANCE,2016,2017,Shareholder Returns,Mixed
RELIANCE,2017,2018,Mixed,Shareholder Returns
RELIANCE,2018,2019,Shareholder Returns,Mixed
RELIANCE,2019,2020,Mixed,Shareholder Returns
RELIANCE,2020,2021,Shareholder Returns,Mixed
RELIANCE,2023,2024,Mixed,Shareholder Returns
SBILIFE,2020,2021,Shareholder Returns,Mixed
SBILIFE,2021,2022,Mixed,Shareholder Returns
SBIN,2013,2014,Shareholder Returns,Mixed
SBIN,2014,2015,Mixed,Shareholder Returns
SBIN,2015,2016,Shareholder Returns,Mixed
SBIN,2016,2017,Mixed,Reinvestor
SBIN,2017,2018,Reinvestor,Distress Signal
SBIN,2018,2019,Distress Signal,Cash Accumulator
SBIN,2019,2020,Cash Accumulator,Mixed
SBIN,2021,2022,Mixed,Shareholder Returns
SBIN,2022,2023,Shareholder Returns,Growth Funded by Debt
SBIN,2023,2024,Growth Funded by Debt,Shareholder Returns
SHREECEM,2016,2017,Reinvestor,Shareholder Returns
SHREECEM,2017,2018,Shareholder Returns,Mixed
SHREECEM,2018,2019,Mixed,Shareholder Returns
SHREECEM,2019,2020,Shareholder Returns,Mixed
SHREECEM,2020,2021,Mixed,Shareholder Returns
SHRIRAMFIN,2017,2018,Growth Funded by Debt,Distress Signal
SHRIRAMFIN,2018,2019,Distress Signal,Growth Funded by Debt
SHRIRAMFIN,2022,2023,Growth Funded by Debt,Distress Signal
SHRIRAMFIN,2023,2024,Distress Signal,Growth Funded by Debt
SUNPHARMA,2013,2014,Reinvestor,Mixed
SUNPHARMA,2014,2015,Mixed,Shareholder Returns
SUNPHARMA,2020,2021,Shareholder Returns,Liquidating Assets
SUNPHARMA,2021,2022,Liquidating Assets,Shareholder Returns
SUNPHARMA,2022,2023,Shareholder Returns,Mixed
SUNPHARMA,2023,2024,Mixed,Shareholder Returns
TATACONSUM,2013,2014,Cash Accumulator,Reinvestor
TATACONSUM,2015,2016,Reinvestor,Liquidating Assets
TATACONSUM,2017,2018,Liquidating Assets,Reinvestor
TATACONSUM,2018,2019,Reinvestor,Liquidating Assets
TATACONSUM,2019,2020,Liquidating Assets,Reinvestor
TATACONSUM,2020,2021,Reinvestor,Shareholder Returns
TATACONSUM,2023,2024,Shareholder Returns,Mixed
TATAMOTORS,2014,2015,Shareholder Returns,Mixed
TATAMOTORS,2015,2016,Mixed,Shareholder Returns
TATAMOTORS,2016,2017,Shareholder Returns,Mixed
TATAMOTORS,2021,2022,Mixed,Reinvestor
TATAMOTORS,2022,2023,Reinvestor,Shareholder Returns
TATAPOWER,2016,2017,Shareholder Returns,Mixed
TATAPOWER,2017,2018,Mixed,Shareholder Returns
TATAPOWER,2020,2021,Shareholder Returns,Liquidating Assets
TATAPOWER,2021,2022,Liquidating Assets,Shareholder Returns
TATAPOWER,2022,2023,Shareholder Returns,Mixed
TATAPOWER,2023,2024,Mixed,Shareholder Returns
TATASTEEL,2013,2014,Reinvestor,Mixed
TATASTEEL,2014,2015,Mixed,Reinvestor
TATASTEEL,2017,2018,Reinvestor,Mixed
TATASTEEL,2018,2019,Mixed,Reinvestor
TATASTEEL,2020,2021,Reinvestor,Shareholder Returns
TCS,2017,2018,Reinvestor,Liquidating Assets
TCS,2020,2021,Liquidating Assets,Reinvestor
TCS,2022,2023,Reinvestor,Liquidating Assets
TECHM,2013,2014,Mixed,Liquidating Assets
TECHM,2014,2015,Liquidating Assets,Reinvestor
TECHM,2018,2019,Reinvestor,Shareholder Returns
TECHM,2019,2020,Shareholder Returns,Liquidating Assets
TECHM,2020,2021,Liquidating Assets,Shareholder Returns
TECHM,2021,2022,Shareholder Returns,Liquidating Assets
TECHM,2022,2023,Liquidating Assets,Shareholder Returns
TITAN,2013,2014,Reinvestor,Growth Funded by Debt
TITAN,2014,2015,Growth Funded by Debt,Reinvestor
TITAN,2017,2018,Reinvestor,Mixed
TITAN,2018,2019,Mixed,Reinvestor
TITAN,2019,2020,Reinvestor,Mixed
TITAN,2020,2021,Mixed,Shareholder Returns
TITAN,2021,2022,Shareholder Returns,Mixed
TITAN,2023,2024,Mixed,Reinvestor
TORNTPHARM,2015,2016,Mixed,Reinvestor
TORNTPHARM,2017,2018,Reinvestor,Mixed
TORNTPHARM,2018,2019,Mixed,Shareholder Returns
TORNTPHARM,2019,2020,Shareholder Returns,Liquidating Assets
TORNTPHARM,2020,2021,Liquidating Assets,Shareholder Returns
TORNTPHARM,2022,2023,Shareholder Returns,Mixed
TORNTPHARM,2023,2024,Mixed,Shareholder Returns
TRENT,2013,2014,Mixed,Pre-Revenue
TRENT,2014,2015,Pre-Revenue,Growth Funded by Debt
TRENT,2015,2016,Growth Funded by Debt,Reinvestor
TRENT,2017,2018,Reinvestor,Shareholder Returns
TRENT,2018,2019,Shareholder Returns,Mixed
TRENT,2020,2021,Mixed,Liquidating Assets
TRENT,2022,2023,Liquidating Assets,Shareholder Returns
TVSMOTOR,2014,2015,Shareholder Returns,Mixed
TVSMOTOR,2015,2016,Mixed,Shareholder Returns
TVSMOTOR,2017,2018,Shareholder Returns,Mixed
TVSMOTOR,2018,2019,Mixed,Growth Funded by Debt
TVSMOTOR,2019,2020,Growth Funded by Debt,Mixed
TVSMOTOR,2021,2022,Mixed,Growth Funded by Debt
ULTRACEMCO,2013,2014,Mixed,Shareholder Returns
ULTRACEMCO,2017,2018,Shareholder Returns,Liquidating Assets
ULTRACEMCO,2019,2020,Liquidating Assets,Shareholder Returns
ULTRACEMCO,2021,2022,Shareholder Returns,Liquidating Assets
ULTRACEMCO,2022,2023,Liquidating Assets,Shareholder Returns
UNIONBANK,2013,2014,Growth Funded by Debt,Mixed
UNIONBANK,2014,2015,Mixed,Growth Funded by Debt
UNIONBANK,2015,2016,Growth Funded by Debt,Reinvestor
UNIONBANK,2016,2017,Reinvestor,Growth Funded by Debt
UNIONBANK,2017,2018,Growth Funded by Debt,Mixed
UNIONBANK,2018,2019,Mixed,Growth Funded by Debt
UNIONBANK,2020,2021,Growth Funded by Debt,Reinvestor
UNIONBANK,2021,2022,Reinvestor,Shareholder Returns
UNITDSPR,2013,2014,Reinvestor,Growth Funded by Debt
UNITDSPR,2014,2015,Growth Funded by Debt,Mixed
UNITDSPR,2015,2016,Mixed,Liquidating Assets
UNITDSPR,2016,2017,Liquidating Assets,Reinvestor
UNITDSPR,2017,2018,Reinvestor,Liquidating Assets
UNITDSPR,2018,2019,Liquidating Assets,Shareholder Returns
UNITDSPR,2023,2024,Shareholder Returns,Liquidating Assets
VEDL,2013,2014,Mixed,Reinvestor
VEDL,2016,2017,Reinvestor,Liquidating Assets
VEDL,2018,2019,Liquidating Assets,Reinvestor
VEDL,2023,2024,Reinvestor,Shareholder Returns
WIPRO,2013,2014,Shareholder Returns,Reinvestor
WIPRO,2017,2018,Reinvestor,Liquidating Assets
WIPRO,2021,2022,Liquidating Assets,Mixed
WIPRO,2022,2023,Mixed,Shareholder Returns
WIPRO,2023,2024,Shareholder Returns,Liquidating Assets
